Constructed;AfterLS;Best
65393;65921;65921
74998;76273;76273
85736;86056;86056
83108;83438;86056
83056;84181;86056
83722;83767;86056
89015;90105;90105
94414;94945;94945
84543;85216;94945
92464;92802;94945
80420;81730;94945
87498;87498;94945
95314;95619;95619
72505;73437;95619
77668;77788;95619
92333;93814;95619
81499;82030;95619
78486;79039;95619
87518;87971;95619
75034;75399;95619
88784;88892;95619
88593;88593;95619
78379;79009;95619
76407;76977;95619
82945;83808;95619
82434;82845;95619
83756;84269;95619
73456;74478;95619
77433;77670;95619
76674;77812;95619
78535;79849;95619
84924;85760;95619
83511;83863;95619
84426;84717;95619
85468;85644;95619
88723;89688;95619
90864;91165;95619
89860;90272;95619
82241;82580;95619
91701;92563;95619
90649;90805;95619
81760;82434;95619
83388;83846;95619
80583;80764;95619
83656;83865;95619
83541;83952;95619
80381;80739;95619
77290;77986;95619
69994;71589;95619
83537;83853;95619
93104;93515;95619
91169;91169;95619
78492;79198;95619
84869;85628;95619
77969;79640;95619
80058;80592;95619
92375;93002;95619
93421;93485;95619
76288;76520;95619
86672;87291;95619
88106;88903;95619
84093;84093;95619
80164;80164;95619
90265;90265;95619
82509;82919;95619
81767;82062;95619
81641;82814;95619
81845;82679;95619
89152;89478;95619
84848;84848;95619
79762;80829;95619
88069;88569;95619
82424;83737;95619
85537;86239;95619
78761;79787;95619
88427;88764;95619
80900;81437;95619
78444;78538;95619
86139;86940;95619
84846;85276;95619
86339;86775;95619
88245;88621;95619
79539;79976;95619
84489;84681;95619
88480;89178;95619
83982;84126;95619
82198;82198;95619
81542;82010;95619
85611;85643;95619
77942;78623;95619
76566;77129;95619
88332;89259;95619
90801;90909;95619
86774;87748;95619
96245;96744;96744
80592;80592;96744
82721;83444;96744
87131;88372;96744
82043;82763;96744
84900;85311;96744
85269;86071;96744
94151;94181;96744
76202;76841;96744
84445;84681;96744
83519;84222;96744
86678;86826;96744
82644;82926;96744
82108;82837;96744
81489;81951;96744
78763;78888;96744
85247;86256;96744
88412;88544;96744
85637;86230;96744
78647;78950;96744
83609;84149;96744
81831;82112;96744
92232;93209;96744
81786;81786;96744
83940;84642;96744
84828;85029;96744
82904;82904;96744
84740;84740;96744
84110;85309;96744
83528;84130;96744
75482;76709;96744
82030;82353;96744
78348;79085;96744
78812;79364;96744
79363;79817;96744
82114;83954;96744
76546;77188;96744
84784;86563;96744
87829;88265;96744
87352;87797;96744
86069;86339;96744
77720;77830;96744
93345;94102;96744
77043;77699;96744
84873;85146;96744
80829;81519;96744
78174;78504;96744
81953;82095;96744
86004;86004;96744
91009;91188;96744
85872;87655;96744
82138;82953;96744
71830;73701;96744
89139;89305;96744
81467;81904;96744
75640;76137;96744
81540;82258;96744
87878;87878;96744
80292;81010;96744
91854;91854;96744
87053;87431;96744
85889;85889;96744
84763;85038;96744
93807;94249;96744
90762;91202;96744
86805;86867;96744
83468;84518;96744
79064;79439;96744
89221;89871;96744
90349;90822;96744
77464;77840;96744
83786;84423;96744
78153;79368;96744
85041;85392;96744
87966;88037;96744
87806;88188;96744
86687;86939;96744
90560;90560;96744
85898;86025;96744
91302;91302;96744
87272;87395;96744
91792;92855;96744
82513;83975;96744
77899;78473;96744
91573;91858;96744
84524;85483;96744
79307;80291;96744
78259;78641;96744
81241;81816;96744
89710;90341;96744
79781;80605;96744
79512;79512;96744
83757;84014;96744
85705;86200;96744
81450;82525;96744
82495;83284;96744
85823;86404;96744
84641;85173;96744
85569;86139;96744
89574;89574;96744
86056;86586;96744
