Constructed;AfterLS;Best
7963;7963;7963
7406;7409;7963
6657;6898;7963
7582;7845;7963
7248;7407;7963
8267;8267;8267
1517;1880;8267
8418;8516;8516
6457;6457;8516
6863;6863;8516
7431;7431;8516
5952;6141;8516
7611;7611;8516
7688;7717;8516
7644;7644;8516
4355;4593;8516
7232;7312;8516
7675;7675;8516
7213;7405;8516
6547;6721;8516
7481;7898;8516
8006;8006;8516
8512;8512;8516
4887;5274;8516
3983;3983;8516
7459;7459;8516
7339;7339;8516
7375;7375;8516
6359;6815;8516
3314;3314;8516
7909;7909;8516
4784;5047;8516
7736;7736;8516
3446;3446;8516
5981;6595;8516
7677;7677;8516
7415;7415;8516
7163;7163;8516
5930;5930;8516
5978;6197;8516
8544;8544;8544
9147;9147;9147
7160;7160;9147
7598;7598;9147
6322;6322;9147
7587;7587;9147
3490;3982;9147
3130;3130;9147
3863;3863;9147
7223;7424;9147
4420;5277;9147
9147;9147;9147
7858;7858;9147
5044;5044;9147
7358;7358;9147
3577;3577;9147
8001;8001;9147
8357;8357;9147
8719;8719;9147
5854;5854;9147
4871;5460;9147
5152;6454;9147
6857;7402;9147
8323;8323;9147
3824;3824;9147
3995;4053;9147
4776;4776;9147
8244;8244;9147
7675;7675;9147
7536;7536;9147
8059;8059;9147
7252;7252;9147
7241;7697;9147
6190;6190;9147
6064;6064;9147
8207;8207;9147
3864;3864;9147
8207;8207;9147
3132;3132;9147
8940;8940;9147
7274;7274;9147
6291;6371;9147
6550;6550;9147
4864;5481;9147
7542;7542;9147
8817;8817;9147
7013;7013;9147
6068;6068;9147
3797;3797;9147
7296;7296;9147
5959;5972;9147
8124;8124;9147
8056;8386;9147
5590;5911;9147
4955;4955;9147
4439;4524;9147
7896;7896;9147
5373;6727;9147
3936;3936;9147
4079;4155;9147
4821;4821;9147
4356;4356;9147
5504;5860;9147
5992;7146;9147
4498;4863;9147
7909;8057;9147
8289;8289;9147
6901;7037;9147
5988;5988;9147
6721;6927;9147
7670;7670;9147
8530;8530;9147
6517;6517;9147
7153;7153;9147
7415;7415;9147
7845;7886;9147
7515;7515;9147
3047;3047;9147
6678;6949;9147
7534;7534;9147
6079;6079;9147
7632;7632;9147
7909;7909;9147
8628;8628;9147
7284;7284;9147
8031;8244;9147
6288;6288;9147
4221;4536;9147
7226;7226;9147
8788;8788;9147
6144;6144;9147
6445;6445;9147
7563;7563;9147
6454;6456;9147
4173;4418;9147
6224;6224;9147
4425;4609;9147
8719;8719;9147
5771;5771;9147
6133;6232;9147
5886;5886;9147
6650;6650;9147
