Constructed;AfterLS;Best
21926;21926;21926
22812;22812;22812
24380;24380;24380
21426;21560;24380
24582;24582;24582
26884;26884;26884
26002;26157;26884
24792;24792;26884
20243;20544;26884
24254;24475;26884
25710;25710;26884
19605;20054;26884
24261;24261;26884
19099;19099;26884
21373;21373;26884
24998;25470;26884
25688;25830;26884
25497;25497;26884
22274;22277;26884
21219;22078;26884
20454;21524;26884
22910;22940;26884
22369;22591;26884
27049;27049;27049
20452;20452;27049
20858;20858;27049
23393;23471;27049
23508;23807;27049
22660;22660;27049
22207;22499;27049
21293;21542;27049
20570;20570;27049
22736;23812;27049
24538;24538;27049
25630;25630;27049
23317;24041;27049
19703;20282;27049
18941;19040;27049
23992;23992;27049
24769;24769;27049
24147;24651;27049
22439;22439;27049
21672;21887;27049
19806;19806;27049
18167;19035;27049
27911;27911;27911
22721;22940;27911
18301;18301;27911
21376;21376;27911
18936;18936;27911
15219;15451;27911
24427;25919;27911
23138;23138;27911
26033;26033;27911
22863;23190;27911
22256;22256;27911
20608;20608;27911
24736;25143;27911
24310;24310;27911
23768;23768;27911
21658;21658;27911
20563;20563;27911
23469;23469;27911
22857;22857;27911
25510;25680;27911
23784;24470;27911
22224;22224;27911
26173;26173;27911
25315;25315;27911
22287;22287;27911
21989;21989;27911
25005;25005;27911
16816;16816;27911
17222;18453;27911
21560;21719;27911
20180;21249;27911
22353;22738;27911
15267;15267;27911
23572;23885;27911
22935;22935;27911
26258;26258;27911
22745;23426;27911
22803;23584;27911
20811;20819;27911
23882;23882;27911
19276;19791;27911
25290;25766;27911
25105;25105;27911
20624;21229;27911
20931;21942;27911
22781;22982;27911
19749;19749;27911
20953;21239;27911
19373;19457;27911
17236;17726;27911
22701;22701;27911
18664;19207;27911
25651;25750;27911
24111;24111;27911
22231;22427;27911
24483;24483;27911
24534;24689;27911
23072;23877;27911
20371;20890;27911
22610;22664;27911
18754;19135;27911
23926;24459;27911
23456;23456;27911
18945;18945;27911
21428;21589;27911
12232;12519;27911
22836;23059;27911
25818;25818;27911
25026;25026;27911
24516;24516;27911
20516;20698;27911
22105;22336;27911
20123;20310;27911
19659;19840;27911
19189;19189;27911
20835;20835;27911
23179;23626;27911
23317;23317;27911
24879;25510;27911
21773;21773;27911
25693;26073;27911
17548;18511;27911
25020;25020;27911
24244;24244;27911
22797;23506;27911
26477;26477;27911
24971;24971;27911
24811;24948;27911
25888;25888;27911
19950;20342;27911
20135;20685;27911
17057;17083;27911
18361;18361;27911
22748;22748;27911
25244;25244;27911
25020;25588;27911
21397;21397;27911
24658;24658;27911
24405;24627;27911
22977;22977;27911
19975;20459;27911
