Current;Best
735;735
912;912
1294;1294
2223;2223
1500;2223
1282;2223
1581;2223
1539;2223
1427;2223
3529;3529
1948;3529
383;3529
2579;3529
992;3529
1200;3529
804;3529
918;3529
539;3529
1269;3529
930;3529
992;3529
1243;3529
2878;3529
958;3529
1218;3529
2744;3529
893;3529
2846;3529
758;3529
889;3529
1477;3529
446;3529
712;3529
747;3529
1545;3529
1258;3529
949;3529
1800;3529
1071;3529
1812;3529
1742;3529
1350;3529
2992;3529
2607;3529
957;3529
889;3529
3408;3529
746;3529
3092;3529
529;3529
919;3529
2226;3529
682;3529
2308;3529
1677;3529
1493;3529
1525;3529
723;3529
2178;3529
1197;3529
930;3529
1955;3529
893;3529
2477;3529
957;3529
1360;3529
994;3529
2822;3529
2106;3529
2660;3529
958;3529
957;3529
962;3529
3008;3529
518;3529
962;3529
1373;3529
1560;3529
3644;3644
2062;3644
958;3644
2741;3644
1435;3644
1048;3644
1167;3644
1735;3644
772;3644
711;3644
2341;3644
840;3644
969;3644
1704;3644
533;3644
1123;3644
919;3644
930;3644
1689;3644
1258;3644
1103;3644
1418;3644
2240;3644
1521;3644
479;3644
1335;3644
821;3644
2095;3644
1419;3644
1235;3644
1656;3644
1479;3644
1426;3644
903;3644
3163;3644
1147;3644
3199;3644
1418;3644
2637;3644
1115;3644
1949;3644
849;3644
1499;3644
1638;3644
915;3644
1845;3644
1063;3644
1353;3644
952;3644
993;3644
804;3644
469;3644
2446;3644
919;3644
1068;3644
889;3644
930;3644
1550;3644
1227;3644
1016;3644
2600;3644
3032;3644
1333;3644
737;3644
1986;3644
1625;3644
912;3644
1694;3644
1204;3644
689;3644
2211;3644
930;3644
993;3644
2939;3644
1536;3644
712;3644
1670;3644
825;3644
1144;3644
2383;3644
1597;3644
1830;3644
930;3644
1236;3644
1797;3644
2713;3644
1857;3644
943;3644
1950;3644
2202;3644
1932;3644
1031;3644
772;3644
1789;3644
1928;3644
3036;3644
1534;3644
2537;3644
2211;3644
1624;3644
930;3644
1567;3644
2263;3644
1493;3644
1547;3644
1041;3644
591;3644
992;3644
1243;3644
1504;3644
889;3644
2429;3644
893;3644
1676;3644
934;3644
720;3644
1713;3644
1889;3644
711;3644
2263;3644
909;3644
2110;3644
2554;3644
2119;3644
992;3644
1538;3644
958;3644
1024;3644
958;3644
800;3644
1458;3644
585;3644
720;3644
4961;4961
891;4961
1703;4961
838;4961
1737;4961
764;4961
2638;4961
1950;4961
962;4961
1412;4961
1985;4961
472;4961
1531;4961
772;4961
2184;4961
2498;4961
2054;4961
1342;4961
1296;4961
1178;4961
764;4961
1612;4961
891;4961
591;4961
1784;4961
2027;4961
747;4961
917;4961
2278;4961
617;4961
1659;4961
536;4961
1148;4961
2151;4961
849;4961
1591;4961
2461;4961
970;4961
3321;4961
1564;4961
2041;4961
1190;4961
1950;4961
2074;4961
1556;4961
796;4961
1701;4961
1186;4961
1237;4961
516;4961
1881;4961
934;4961
2068;4961
1910;4961
3701;4961
2719;4961
1624;4961
1041;4961
824;4961
2287;4961
