Current;Best
2643;2643
4401;4401
2641;4401
6269;6269
2847;6269
3474;6269
4017;6269
2299;6269
2834;6269
5519;6269
6233;6269
3704;6269
3878;6269
3531;6269
7206;7206
3924;7206
4318;7206
3744;7206
3024;7206
5117;7206
6089;7206
4703;7206
3519;7206
5245;7206
2711;7206
5584;7206
3580;7206
2100;7206
3355;7206
3341;7206
3288;7206
4952;7206
4742;7206
4317;7206
2962;7206
3074;7206
2885;7206
6472;7206
3246;7206
3827;7206
5127;7206
4289;7206
4398;7206
4300;7206
5056;7206
4450;7206
4759;7206
7500;7500
2554;7500
2452;7500
6280;7500
4258;7500
5106;7500
3373;7500
2158;7500
3897;7500
4550;7500
3950;7500
3978;7500
2899;7500
4924;7500
3657;7500
4612;7500
3960;7500
3653;7500
5944;7500
2943;7500
6556;7500
3855;7500
4747;7500
4089;7500
3907;7500
4197;7500
3077;7500
4332;7500
3736;7500
5160;7500
3731;7500
3549;7500
5772;7500
3318;7500
4374;7500
3182;7500
2799;7500
2618;7500
4784;7500
4579;7500
3796;7500
5077;7500
4183;7500
2845;7500
3109;7500
3275;7500
4345;7500
5097;7500
2777;7500
3933;7500
3738;7500
5331;7500
2647;7500
4899;7500
4018;7500
3420;7500
3028;7500
5732;7500
2746;7500
6854;7500
4311;7500
5114;7500
3652;7500
3351;7500
3287;7500
4278;7500
4149;7500
2455;7500
3027;7500
4791;7500
3991;7500
5489;7500
4610;7500
5759;7500
5170;7500
3606;7500
4214;7500
4115;7500
4303;7500
5363;7500
3908;7500
4635;7500
4326;7500
4509;7500
4013;7500
4459;7500
4010;7500
4028;7500
4356;7500
5872;7500
4525;7500
2942;7500
3242;7500
4796;7500
3061;7500
5551;7500
2982;7500
2604;7500
2792;7500
4338;7500
3583;7500
Current;Best
3301;3301
5548;5548
3315;5548
4047;5548
4090;5548
2833;5548
4334;5548
4748;5548
4408;5548
4228;5548
3173;5548
4053;5548
3101;5548
3586;5548
3226;5548
3357;5548
5043;5548
2868;5548
5825;5825
3691;5825
3065;5825
5631;5825
1980;5825
4148;5825
3172;5825
4069;5825
2491;5825
2295;5825
4289;5825
5898;5898
7948;7948
4315;7948
4618;7948
4705;7948
6028;7948
2838;7948
3652;7948
3698;7948
4293;7948
3498;7948
4655;7948
5301;7948
5761;7948
4862;7948
2832;7948
5711;7948
4944;7948
2555;7948
3272;7948
6333;7948
3846;7948
2844;7948
3072;7948
3196;7948
4897;7948
3593;7948
3891;7948
4371;7948
4150;7948
4569;7948
4023;7948
2922;7948
2509;7948
3375;7948
3361;7948
4312;7948
4358;7948
4611;7948
5856;7948
4297;7948
2854;7948
5151;7948
5495;7948
3124;7948
3551;7948
5682;7948
3480;7948
4753;7948
3052;7948
3409;7948
3694;7948
2983;7948
5557;7948
2767;7948
3025;7948
3290;7948
3206;7948
2820;7948
8015;8015
4615;8015
5243;8015
5340;8015
4137;8015
5129;8015
6199;8015
4122;8015
1822;8015
5769;8015
4743;8015
3908;8015
4210;8015
7975;8015
3193;8015
3591;8015
3820;8015
4613;8015
3380;8015
3090;8015
3755;8015
4117;8015
5247;8015
3973;8015
2589;8015
4663;8015
5012;8015
6834;8015
3982;8015
4539;8015
6254;8015
4526;8015
3576;8015
3929;8015
4619;8015
5263;8015
1979;8015
3244;8015
3966;8015
3168;8015
4060;8015
2026;8015
4135;8015
5677;8015
3733;8015
3247;8015
3210;8015
4722;8015
4145;8015
6678;8015
2472;8015
3666;8015
2957;8015
4464;8015
5186;8015
4828;8015
3955;8015
4361;8015
4972;8015
4797;8015
4830;8015
2599;8015
5416;8015
3584;8015
3402;8015
3667;8015
3530;8015
5425;8015
5142;8015
4686;8015
3458;8015
3753;8015
4968;8015
4661;8015
2929;8015
2786;8015
3147;8015
3865;8015
6231;8015
5737;8015
3716;8015
5180;8015
3721;8015
4475;8015
4823;8015
3408;8015
3407;8015
3794;8015
2326;8015
2514;8015
6689;8015
3557;8015
5417;8015
7032;8015
4884;8015
4065;8015
5326;8015
3708;8015
5486;8015
4778;8015
5055;8015
Current;Best
2759;2759
6076;6076
5197;6076
3694;6076
2265;6076
4479;6076
4104;6076
4407;6076
4143;6076
6226;6226
3929;6226
2935;6226
4781;6226
2991;6226
5668;6226
3221;6226
4920;6226
5547;6226
2905;6226
2805;6226
6558;6558
4235;6558
4354;6558
6277;6558
3403;6558
3222;6558
4314;6558
4523;6558
5712;6558
3573;6558
3279;6558
3789;6558
3225;6558
2435;6558
3177;6558
5387;6558
1657;6558
5574;6558
4266;6558
5143;6558
1989;6558
4737;6558
3761;6558
3653;6558
2845;6558
4561;6558
4142;6558
4321;6558
3198;6558
4538;6558
4395;6558
2796;6558
4586;6558
3447;6558
7806;7806
3532;7806
4468;7806
3519;7806
2163;7806
3176;7806
3330;7806
4874;7806
